date,value
2015-01,17164.95
2015-02,18132.70
2015-03,17776.12
2015-04,17840.52
2015-05,18010.68
2015-06,17619.51
2015-07,17689.86
2015-08,16528.03
2015-09,16284.70
2015-10,17663.54
2015-11,17719.92
2015-12,17425.03
